# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.78,5.03,0.0,0,3.0,0,0.0,0.0,0.0
 0.08947276121021336,1.7920080624978698,5.03,0.0,0.26841828363064,2.9999999999999996,0,0.0,0.0,0.0
 0.1265755334587998,1.8040320485055696,5.03,0.0,0.3797266003763993,3.0,0,0.0,0.0,0.0
 0.15507343592469414,1.8160716557942354,5.03,0.0,0.4652203077740824,3.0000000000000018,0,0.0,0.0,0.0
 0.17912115478078391,1.8281265821350023,5.03,0.0,0.5373634643423517,2.9999999999999987,0,0.0,0.0,0.0
 0.20032727439368883,1.8401965252990065,5.03,0.0,0.6009818231810664,2.9999999999999973,0,0.0,0.0,0.0
 0.219516412533525,1.852281183057383,5.03,0.0,0.6585492376005748,2.9999999999999956,0,0.0,0.0,0.0
 0.23717820751672294,1.8643802531812685,5.03,0.0,0.7115346225501687,3.000000000000005,0,0.0,0.0,0.0
 0.25363153516048664,1.8764934334417978,5.03,0.0,0.7608946054814598,2.9999999999999982,0,0.0,0.0,0.0
 0.2690977785243461,1.888620421610107,5.03,0.0,0.8072933355730381,2.9999999999999964,0,0.0,0.0,0.0
 0.2837380428697469,1.9007609154573315,5.03,0.0,0.8512141286092406,3.000000000000004,0,0.0,0.0,0.0
 0.29767388504268344,1.912914612754607,5.03,0.0,0.8930216551280502,3.0,0,0.0,0.0,0.0
 0.3109996905390417,1.9250812112730695,5.03,0.0,0.9329990716171249,2.999999999999996,0,0.0,0.0,0.0
 0.32379047626909835,1.9372604087838543,5.03,0.0,0.971371428807295,3.000000000000009,0,0.0,0.0,0.0
 0.3361070296379783,1.9494519030580972,5.03,0.0,1.008321088913935,3.000000000000009,0,0.0,0.0,0.0
 0.34799941749657565,1.961655391866934,5.03,0.0,1.0439982524897269,2.9999999999999907,0,0.0,0.0,0.0
 0.3595094555840405,1.9738705729814998,5.03,0.0,1.0785283667521215,3.0,0,0.0,0.0,0.0
 0.3706724917164577,1.9860971441729312,5.03,0.0,1.1120174751493732,3.0000000000000098,0,0.0,0.0,0.0
 0.38151872231242934,1.998334803212363,5.03,0.0,1.1445561669372881,3.0000000000000053,0,0.0,0.0,0.0
 0.39207418334709,2.0105832478709313,5.03,0.0,1.1762225500412702,3.0000000000000107,0,0.0,0.0,0.0
 0.4023615090270369,2.0228421759197714,5.03,0.0,1.2070845270811108,2.9999999999999947,0,0.0,0.0,0.0
 0.41240052144326855,2.0351112851300197,5.03,0.0,1.2372015643298058,2.9999999999999947,0,0.0,0.0,0.0
 0.4222086950571649,2.047390273272811,5.03,0.0,1.2666260851714948,2.9999999999999942,0,0.0,0.0,0.0
 0.4318015270308663,2.059678838119282,5.03,0.0,1.295404581092599,3.0000000000000058,0,0.0,0.0,0.0
 0.4411928357234642,2.0719766774405675,5.03,0.0,1.3235785071703927,3.0000000000000058,0,0.0,0.0,0.0
 0.45039500367847723,2.0842834890078032,5.03,0.0,1.3511850110354318,2.999999999999988,0,0.0,0.0,0.0
 0.45941917721700526,2.096598970592125,5.03,0.0,1.3782575316510157,2.9999999999999876,0,0.0,0.0,0.0
 0.4682754317455122,2.108922819964669,5.03,0.0,1.4048262952365367,3.000000000000006,0,0.0,0.0,0.0
 0.4769729097105133,2.1212547348965702,5.03,0.0,1.4309187291315402,3.0000000000000253,0,0.0,0.0,0.0
 0.4855199365346833,2.1335944131589644,5.03,0.0,1.4565598096040502,3.000000000000013,0,0.0,0.0,0.0
 0.4939241186815288,2.1459415525229875,5.03,0.0,1.4817723560445868,3.0000000000000067,0,0.0,0.0,0.0
 0.5021924271032469,2.158295850759775,5.03,0.0,1.506577281309741,2.9999999999999933,0,0.0,0.0,0.0
 0.5103312686484222,2.170657005640462,5.03,0.0,1.530993805945267,3.000000000000027,0,0.0,0.0,0.0
 0.5183465474861294,2.1830247149361854,5.03,0.0,1.5550396424583888,3.0,0,0.0,0.0,0.0
 0.5262437182004045,2.19539867641808,5.03,0.0,1.578731154601214,2.999999999999986,0,0.0,0.0,0.0
 0.5340278318947317,2.2077785878572818,5.03,0.0,1.6020834956841956,3.000000000000014,0,0.0,0.0,0.0
 0.5417035763988308,2.220164147024926,5.03,0.0,1.6251107291964932,3.000000000000029,0,0.0,0.0,0.0
 0.5492753114739145,2.232555051692149,5.03,0.0,1.6478259344217443,3.0,0,0.0,0.0,0.0
 0.5567470997560061,2.2449509996300865,5.03,0.0,1.6702412992680191,3.0,0,0.0,0.0,0.0
 0.564122734051065,2.257351688609873,5.03,0.0,1.6923682021531956,3.0,0,0.0,0.0,0.0
 0.5714057614939054,2.269756816402645,5.03,0.0,1.7142172844817172,3.000000000000015,0,0.0,0.0,0.0
 0.5785995050000985,2.2821660807795388,5.03,0.0,1.7357985150002964,3.0,0,0.0,0.0,0.0
 0.5857070823723456,2.2945791795116888,5.03,0.0,1.7571212471170379,3.000000000000031,0,0.0,0.0,0.0
 0.5927314233671274,2.3069958103702315,5.03,0.0,1.7781942701013833,3.000000000000016,0,0.0,0.0,0.0
 0.5996752849814094,2.3194156711263023,5.03,0.0,1.7990258549442297,3.000000000000032,0,0.0,0.0,0.0
 0.6065412651809912,2.3318384595510366,5.03,0.0,1.819623795542975,3.000000000000016,0,0.0,0.0,0.0
 0.6133318152602063,2.3442638734155703,5.03,0.0,1.8399954457806207,3.000000000000033,0,0.0,0.0,0.0
